Title,Category,Sub Category,Price,Quantity,Images
"Kodak AZ401RD Point & Shoot Digital Camera with 3"" LCD, Red",Electronics,Cameras and photography equipment,169.99,225,"https://m.media-amazon.com/images/I/71mcXgTbfjL.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/71B5tWlYkNL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81Qr+q59vDL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81DnuPeYBEL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/91NKPnQdA8L._AC_SX466_.jpg"
"WYZE Cam OG 1080p HD Wi-Fi Security Camera - Indoor/Outdoor, Color Night Vision, Spotlight, 2-Way Audio, Cloud & Local Storage- Ideal for Home Security, Baby, Pet Monitoring Alexa Google Assistant",Electronics,Cameras and photography equipment,29.98,1663,"https://m.media-amazon.com/images/I/51K54VizzIL.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/71N1C4BiKLL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81eWBjIqDeL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81gXwJahv9L._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71IWnH3uvjL._AC_SX466_.jpg"
Google indoor Nest Security Cam 1080p (Wired) - 2nd Generation - Snow,Electronics,Cameras and photography equipment,94.65,353,"https://m.media-amazon.com/images/I/41TupDmo90L.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/71V0OGE2taL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81cO6B1FBpL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71JOnm8UD5L._AC_SX466_.jpg"
"TP-Link Tapo Pan/Tilt Security Camera for Baby Monitor, Pet Camera w/Motion Detection, 1080P, 2-Way Audio, Night Vision, Cloud & SD Card Storage, Works with Alexa & Google Home (Tapo C200)",Electronics,Cameras and photography equipment,29.48,362,"https://m.media-amazon.com/images/I/61VhJEchChL.__AC_SX300_SY300_QL70_ML2_.jpg, https://m.media-amazon.com/images/I/71OmenLBqJL._AC_SX522_.jpg, https://m.media-amazon.com/images/I/810pSqpiYdL._AC_SX522_.jpg, https://m.media-amazon.com/images/I/71uxrgQ7FWL._AC_SX522_.jpg"
"KODAK PIXPRO FZ55-BK 16MP CMOS Sensor Digital Camera 5X Optical Zoom 28mm Wide Angle 1080P Full HD Video 2.7"" LCD Vlogging Camera (Black)",Electronics,Cameras and photography equipment,119.95,251,"https://m.media-amazon.com/images/I/81swjZCbdiL._AC_SX522_.jpg, https://m.media-amazon.com/images/I/8103SXrhvmL._AC_SX522_.jpg, https://m.media-amazon.com/images/I/81HZnWksWFL._AC_SX522_.jpg, https://m.media-amazon.com/images/I/81y4TY+dJ6L._AC_SX522_.jpg, https://m.media-amazon.com/images/I/913AUb-QELL._AC_SX522_.jpg"
"Digital Camera, FHD 1080P Camera, Digital Point and Shoot Camera with 16X Zoom Anti Shake, Compact Small Camera for Boys Girls Kids",Electronics,Cameras and photography equipment,39.65,4632,"https://m.media-amazon.com/images/I/61JavBEclHL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/8108JHGZHJL._AC_SY679_.jpg, https://m.media-amazon.com/images/I/61sa6ctdN+L._AC_SY679_.jpg, https://m.media-amazon.com/images/I/61N7sVnZlCL.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/71ImwNe6eLL._AC_SX466_.jpg"
"2024 Upgrade VJIANGER Digital Camera for Photography 4K 56MP Vlogging Camera for YouTube with WiFi, 180 Degree Flip Screen, 16X Digital Zoom, 52mm Lens, 2 Batteries, 32GB TF Card(W02-Black35)",Electronics,Cameras and photography equipment,119.99,625,"https://m.media-amazon.com/images/I/71I72QnuvIL.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/71k751KDMsL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71coJFCWQCL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71s+l-Hy23L._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71k751KDMsL._AC_SX466_.jpg"
"Digital Camera for Teens, FHD 4K 44MP Digital Camera Blue Autofocus with 64GB SD Card 16X Zoom, Cameras for Photography Compact Point and Shoot Camera for Teen Boy Girl Kids Camera Beginner",Electronics,Cameras and photography equipment,37.99,362,"https://m.media-amazon.com/images/I/71b4fan5mOL.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/71ZuSYh3ZtL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71ZtltH7WtL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71960zFsogL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81e1tqyTd1L._AC_SX466_.jpg"
"4K Digital Camera, 64MP Rear and Front Camera for Photography and Video Autofocus Anti-Shake, 3'' Selfie Flip Vlogging Camera with Ultra Bright Flash, Camera with Dial 16X Zoom (2 Batteries+Charger)",Electronics,Cameras and photography equipment,112.99,3251,"https://m.media-amazon.com/images/I/713rZRWpnPL.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/716b5devDTL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/819Xw7UziiL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71L6L+NNN1L._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81kgWRyu3eL._AC_SX466_.jpg"
"Digital Camera for Kids, 1080P FHD Camera, 44MP Point and Shoot Digital Camera for Pictures with 32GB Card, 16X Zoom, Compact Small Vintage Camera Gifts for Teens Kids Boys Girls",Electronics,Cameras and photography equipment,45.99,3665,"https://m.media-amazon.com/images/I/61N7sVnZlCL.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/71yOq8GQNQL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71ImwNe6eLL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71qoXbJMsPL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71ONrY0EYmL._AC_SX466_.jpg"
